chromosome	start	end	same_chr/new_chr	length_ratio/new_pos	file
chr7	71786	7024355	False	-11.9622	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141676799	141725225	True	5.0497	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141725822	141727147	True	-0.7434	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141732907	141734430	True	-1.0000	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141734444	141842781	True	-1.0000	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141843554	141872264	True	-0.9999	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141872858	141878777	True	-1.0003	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141880260	141996982	False	-1217.5953	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	68943134	69475447	True	0.1183	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38264835	False	-1.3596	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690519	141743175	True	4.0489	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141744975	141776008	True	-0.9998	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr15	19566863	19965574	True	2.9144	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr17	20144247	22456418	True	2.2614	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	24256672	33155427	True	0.4494	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	68967174	69630168	True	0.4691	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38257239	False	-1.3601	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141438564	141945488	False	-279.7108	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156327	142176424	True	-0.0538	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	7100546	False	-11.8217	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	7369604	False	-11.3490	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	849173	False	-114.9279	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	752074	False	-131.4746	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	3405737	False	-26.0313	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142176424	True	-0.0514	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	250426	False	-504.2028	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	11840583	False	-6.6576	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	89357575	141924602	False	-1.7030	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142176424	True	-0.0514	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr10	77931261	81425081	True	3.0969	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	69155461	69780371	True	0.4367	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	1182539	False	-80.1349	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141725822	141727147	True	-0.7434	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141732907	141821020	True	-0.9999	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141824353	141971359	False	-409.8255	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142154199	142179022	True	0.2278	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chrX	148575480	148579324	True	-0.9995	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	69057538	69647511	True	0.4034	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	7060146	False	-11.8959	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690519	141734083	True	5.1025	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141734430	142154515	True	0.4965	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13905286	False	-5.5147	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	5917342	False	-14.4170	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142176424	True	-0.0514	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr15	19465347	20088826	True	2.2243	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	138491	False	-1351.9635	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38269645	False	-1.3593	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142165328	142167474	True	0.2540	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	35514293	False	-1.5427	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142176424	True	-0.0514	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	752074	False	-131.4746	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	3526352	False	-25.0875	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38264348	False	-1.3596	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr15	19466180	20088826	True	2.2259	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	21388938	False	-3.2276	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690532	141722101	True	7.3337	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38260614	False	-1.3599	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	4548499	False	-19.1310	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	23655854	False	-2.8213	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	16663963	False	-4.4315	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141430953	141992975	False	-252.2757	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142176424	True	-0.0514	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	5874187	False	-14.5317	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142165328	142167474	True	0.2540	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38269645	False	-1.3593	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142158980	142179022	True	0.0436	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	8792410	False	-9.3342	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	69074397	69592854	True	0.3211	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38264348	False	-1.3596	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	243383	False	-524.9383	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142165328	142167474	True	0.2540	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	23958854	32836340	True	0.4480	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	752074	False	-131.4746	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142154199	142176424	True	0.0472	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr12	34588501	36149979	True	2.0279	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr15	19488330	19787121	True	3.5546	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	24194082	32967322	True	0.4415	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	159284	False	-1030.4457	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	24002732	32558249	True	0.4273	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	69074397	69518358	True	-0.0572	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	4123173	False	-21.2445	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	1824459	False	-50.4191	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	1778821	False	-51.7938	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142150149	142176424	True	0.1940	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	1092216	False	-87.3166	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141715776	141742672	True	7.8168	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	24279522	32855288	True	0.4286	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	4586708	False	-18.9607	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	279548	False	-433.3885	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr12	34588501	36149979	True	2.0279	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	24375140	32819041	True	0.4197	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	1107771	False	-85.9905	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141724921	141975408	False	-567.9942	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	24279522	32846153	True	0.4280	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chrY	10640796	12504319	True	2.1269	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38269645	False	-1.3593	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	68967174	69475447	True	0.0766	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	159284	False	-1030.4457	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	215512	False	-626.9270	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13947129	False	-5.4950	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	69054586	69630168	True	0.3885	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	1092216	False	-87.3166	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	760666	False	-129.8223	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr19	23837692	32981068	True	0.4641	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38269645	False	-1.3593	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141724229	142129131	True	0.4290	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13947129	False	-5.4950	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	5881656	False	-14.5117	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr15	19465347	19835514	True	3.0620	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13947129	False	-5.4950	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141665790	141722101	True	4.5510	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38261509	False	-1.3598	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	16398119	False	-4.5200	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	138423551	141961116	False	-39.2284	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr15	19475419	19787121	True	3.4488	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	33094759	False	-1.7290	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38264835	False	-1.3596	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	11263913	False	-7.0522	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141738982	142134060	True	0.4886	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chrX	148575480	148581595	True	-0.9997	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	26355664	False	-2.4288	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141724921	142134060	True	0.4383	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	5846784	False	-14.6054	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141430953	141971359	False	-110.7597	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142154199	142154515	True	-0.2690	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156282	142176424	True	-0.0514	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	9141296	False	-8.9367	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38261509	False	-1.3598	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142154199	142176424	True	0.0472	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38269645	False	-1.3593	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	100924034	141943123	False	-2.4656	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	69054586	69630168	True	0.3885	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38269645	False	-1.3593	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141746148	141747596	True	-0.9993	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141752651	141760469	True	-0.9997	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141760736	141943222	False	-779.4553	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	849173	False	-114.9279	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	849173	False	-114.9279	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690532	141711905	True	0.0801	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr15	18276329	19189673	True	2.1021	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38264348	False	-1.3596	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	18791978	False	-3.8141	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141685575	141721925	True	6.5106	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38269645	False	-1.3593	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	16136183	False	-4.6100	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38264348	False	-1.3596	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	38264348	False	-1.3596	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13948687	False	-5.4943	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	61292750	61463504	True	3.1464	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	9061487	False	-9.0249	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr10	81093234	81586288	True	0.3510	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	9029809	False	-9.0604	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chrY	9069818	10035600	True	0.4305	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	2896730	False	-30.9018	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	134007360	141945722	False	-16.9250	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	13047285	False	-5.9455	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	133449086	141944540	False	-15.7494	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr4	69074806	69634120	True	0.3707	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	71786	4036402	False	-21.7313	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141690905	141722101	True	7.4094	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	52911	250149	False	-456.7618	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141693701	141715788	True	-0.0049	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	142156294	142167366	True	-1.9573	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141703896	141724469	True	11.1722	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr17	59810599	60562017	False	84.0166	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141699438	141712448	True	-0.0912	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141712574	141966393	False	-236.8510	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141969864	142001819	False	404.2150	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141699438	141704767	True	-6.4288	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
chr7	141704889	141715776	True	0.2160	/Users/suny1/data/datahub/public/prad_broad/prad_broad_data_cna_hg18.seg
