rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
24	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	803903	9	8	9	1	2	2	3	2	0	0	7.87e-07	0.325	0.267	0.127	0.210	2.74e-06	0.00207
25	BRAF	v-raf murine sarcoma viral oncogene homolog B1	548153	6	6	5	0	0	1	2	2	1	0	1.81e-05	0.286	0.0596	0.0170	0.0134	3.93e-06	0.00285
26	NBPF1	neuroblastoma breakpoint family, member 1	791951	9	9	6	0	0	2	1	1	5	0	3.89e-07	0.112	0.812	0.689	1.000	6.14e-06	0.00428
27	ARFGAP3	ADP-ribosylation factor GTPase activating protein 3	371827	6	6	3	0	1	0	0	0	5	0	6.22e-06	0.500	0.0394	0.748	0.0805	7.77e-06	0.00521
28	ZNF799	zinc finger protein 799	460779	4	4	2	1	0	0	4	0	0	0	0.000500	0.659	0.000156	0.885	0.00111	8.59e-06	0.00556
29	TMEM121	transmembrane protein 121	60419	3	3	1	0	0	0	0	0	3	0	7.70e-05	1.000	0.000687	0.988	0.00782	9.23e-06	0.00577
30	POU4F2	POU class 4 homeobox 2	268709	5	5	3	1	0	0	0	1	4	0	2.43e-05	0.946	0.0127	0.998	0.0313	1.15e-05	0.00693
31	FRG1	FSHD region gene 1	199074	5	5	3	0	0	0	0	0	5	0	1.65e-06	0.575	0.327	0.983	0.481	1.20e-05	0.00699
32	LMOD2	leiomodin 2 (cardiac)	256135	3	3	1	1	0	0	0	0	3	0	0.000823	1.000	0.000171	0.296	0.00118	1.44e-05	0.00817
33	MED12	mediator complex subunit 12	1375781	5	5	4	0	0	3	0	2	0	0	0.0173	0.253	5.24e-05	0.103	6.00e-05	1.53e-05	0.00842
34	MMP12	matrix metallopeptidase 12 (macrophage elastase)	288216	5	5	4	0	0	2	0	0	3	0	1.72e-05	0.582	0.0511	0.471	0.0826	2.05e-05	0.0109
35	FNBP4	formin binding protein 4	695410	7	7	3	0	0	0	0	0	7	0	1.25e-05	0.831	0.0713	0.938	0.147	2.62e-05	0.0136
36	SCAI	suppressor of cancer cell invasion	466812	5	5	2	0	0	4	0	1	0	0	0.000124	0.315	0.0135	0.670	0.0277	4.65e-05	0.0234
37	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	583222	6	6	6	1	0	2	2	1	1	0	9.56e-05	0.497	0.0250	0.548	0.0508	6.42e-05	0.0315
38	KIAA0907	KIAA0907	443721	5	5	4	0	0	0	2	1	2	0	5.41e-05	0.300	0.0609	0.782	0.0969	6.90e-05	0.0329
39	OR4A16	olfactory receptor, family 4, subfamily A, member 16	240238	4	4	4	1	0	3	1	0	0	0	0.000108	0.534	0.891	0.0115	0.0542	7.61e-05	0.0354
40	RYBP	RING1 and YY1 binding protein	161335	4	4	4	0	0	1	2	0	1	0	1.55e-05	0.371	0.462	0.226	0.418	8.39e-05	0.0380
41	CGB8	chorionic gonadotropin, beta polypeptide 8	50194	2	2	2	0	1	0	1	0	0	0	9.67e-05	0.597	NaN	NaN	NaN	9.67e-05	0.0427
42	NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	96550	3	3	1	0	0	0	0	0	3	0	0.000111	1.000	NaN	NaN	NaN	0.000111	0.0476
43	ETV3	ets variant gene 3	108703	3	3	3	0	0	0	1	0	2	0	0.000194	0.727	0.0200	0.493	0.0468	0.000115	0.0476
44	OR5AS1	olfactory receptor, family 5, subfamily AS, member 1	239540	4	4	4	0	2	1	0	1	0	0	3.37e-05	0.303	0.174	0.570	0.272	0.000115	0.0476
45	IL10RA	interleukin 10 receptor, alpha	416602	3	3	3	0	1	0	1	0	1	0	0.00538	0.340	0.0231	0.00260	0.00224	0.000149	0.0598
46	GPATCH4	G patch domain containing 4	289066	4	4	3	0	0	0	1	1	2	0	8.66e-05	0.675	0.0674	0.481	0.145	0.000154	0.0607
47	TIMD4	T-cell immunoglobulin and mucin domain containing 4	288217	4	4	2	1	0	1	0	0	3	0	0.000186	0.913	0.0250	0.558	0.0718	0.000163	0.0630
48	POLI	polymerase (DNA directed) iota	446380	3	3	1	0	0	0	0	0	3	0	0.00445	1.000	9.66e-05	0.983	0.00328	0.000177	0.0668
49	ACBD7	acyl-Coenzyme A binding domain containing 7	69033	2	2	2	0	0	1	1	0	0	0	0.000183	0.610	NaN	NaN	NaN	0.000183	0.0676
50	LCE1F	late cornified envelope 1F	88560	3	2	3	0	1	1	0	1	0	0	0.000634	0.432	0.0105	0.568	0.0251	0.000191	0.0694
51	OR4D5	olfactory receptor, family 4, subfamily D, member 5	236373	4	4	4	0	3	1	0	0	0	0	1.88e-05	0.216	0.713	0.593	1.000	0.000224	0.0792
52	NTM	neurotrimin	286779	4	4	4	0	1	1	0	0	2	0	0.000313	0.229	0.0570	0.0571	0.0613	0.000227	0.0792
53	KRTAP5-5	keratin associated protein 5-5	175306	3	3	2	0	1	2	0	0	0	0	0.000239	0.285	0.189	0.106	0.0851	0.000241	0.0822
54	CLEC1A	C-type lectin domain family 1, member A	211492	4	4	4	0	1	0	1	2	0	0	3.51e-05	0.408	0.693	0.268	0.696	0.000284	0.0953
55	FAM83B	family with sequence similarity 83, member B	745414	5	5	5	1	0	3	0	2	0	0	0.000962	0.675	0.368	0.00516	0.0296	0.000327	0.108
56	KDM6A	lysine (K)-specific demethylase 6A	928933	6	6	6	0	0	0	1	1	4	0	0.000490	0.490	0.196	0.0211	0.0602	0.000337	0.109
57	HRCT1	histidine rich carboxyl terminus 1	77988	2	2	1	0	0	0	2	0	0	0	0.000535	0.580	0.0153	0.956	0.0576	0.000351	0.111
58	NKX3-1	NK3 homeobox 1	135432	3	3	3	0	0	0	3	0	0	0	0.000245	0.553	0.170	0.0158	0.142	0.000391	0.122
59	ZNF485	zinc finger protein 485	322628	4	4	4	0	1	0	2	0	1	0	0.000209	0.336	0.126	0.253	0.168	0.000396	0.122
60	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	770864	5	5	5	0	0	0	0	2	3	0	0.000671	0.478	0.0387	0.346	0.0543	0.000409	0.123
61	SMG7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	851895	4	4	3	0	0	0	1	1	2	0	0.0176	0.622	0.0601	0.00352	0.00228	0.000445	0.131
62	A1CF	APOBEC1 complementation factor	478835	4	4	4	1	1	1	0	0	2	0	0.000877	0.744	0.0329	0.390	0.0459	0.000447	0.131
63	C1orf173	chromosome 1 open reading frame 173	1107451	7	7	7	1	2	2	0	1	2	0	0.000311	0.492	0.0789	0.764	0.144	0.000494	0.142
64	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	148691	4	4	4	0	0	0	0	0	4	0	0.000118	1.000	0.307	0.372	0.400	0.000519	0.147
65	FAM75A6	family with sequence similarity 75, member A6	673936	5	5	5	1	1	1	2	1	0	0	0.000212	0.514	0.224	0.302	0.254	0.000583	0.162
66	PRG4	proteoglycan 4	1048081	10	9	6	5	0	2	8	0	0	0	1.000	0.729	1.72e-05	1.000	5.44e-05	0.000589	0.162
67	PRB2	proline-rich protein BstNI subfamily 2	308949	4	4	4	1	0	0	0	2	2	0	0.000124	0.900	0.408	0.335	0.470	0.000628	0.170
68	RPTN	repetin	581279	6	6	6	1	1	1	2	0	2	0	0.000113	0.536	0.379	0.892	0.528	0.000641	0.171
69	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2	674900	7	7	7	0	5	0	1	1	0	0	9.25e-05	0.0687	0.966	0.349	0.685	0.000676	0.175
70	IRF4	interferon regulatory factor 4	304283	3	3	3	0	1	0	0	0	2	0	0.0113	0.649	0.00255	0.617	0.00564	0.000678	0.175
71	OR2M3	olfactory receptor, family 2, subfamily M, member 3	231681	4	4	4	0	2	1	1	0	0	0	8.00e-05	0.321	0.920	0.532	0.816	0.000694	0.175
72	FSCN3	fascin homolog 3, actin-bundling protein, testicular (Strongylocentrotus purpuratus)	358467	4	4	4	1	3	0	0	1	0	0	0.00105	0.710	0.0288	0.727	0.0623	0.000697	0.175
73	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	306635	4	4	4	0	1	1	1	1	0	0	0.000136	0.350	0.196	0.648	0.504	0.000724	0.180
74	GIGYF2	GRB10 interacting GYF protein 2	906513	6	6	6	0	1	0	1	2	2	0	0.00126	0.271	0.340	0.0207	0.0572	0.000758	0.184
75	ZMYM3	zinc finger, MYM-type 3	773397	8	7	8	0	0	1	1	1	5	0	0.000104	0.175	0.627	0.474	0.696	0.000763	0.184
76	EPB41L3	erythrocyte membrane protein band 4.1-like 3	821395	8	7	8	1	4	3	1	0	0	0	0.000138	0.161	0.344	0.638	0.588	0.000846	0.201
77	MUC7	mucin 7, secreted	280866	3	3	2	1	0	1	2	0	0	0	0.00272	0.567	0.00748	0.503	0.0303	0.000856	0.201
78	KIAA0754	KIAA0754	938012	5	5	4	1	3	0	1	0	1	0	0.00107	0.350	0.0447	0.644	0.0804	0.000888	0.206
79	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	505760	4	4	3	1	0	2	0	1	1	0	0.00232	0.731	0.0163	0.977	0.0387	0.000925	0.212
80	WDR69	WD repeat domain 69	318296	2	2	2	0	0	1	1	0	0	0	0.0436	0.587	0.0507	0.00188	0.00210	0.000942	0.213
81	FAM53B	family with sequence similarity 53, member B	277899	2	2	2	0	1	0	0	1	0	0	0.0326	0.606	0.516	0.00226	0.00333	0.00110	0.246
82	STAG3L2	stromal antigen 3-like 2	61612	2	2	1	0	0	0	0	0	2	0	0.00115	1.000	NaN	NaN	NaN	0.00115	0.252
83	ANO4	anoctamin 4	702889	5	5	5	0	2	1	0	2	0	0	0.00162	0.271	0.138	0.0638	0.0710	0.00116	0.252
84	UBC	ubiquitin C	459154	4	4	4	1	2	0	2	0	0	0	0.00119	0.630	NaN	NaN	NaN	0.00119	0.255
85	PRTFDC1	phosphoribosyl transferase domain containing 1	164736	3	3	3	0	2	0	1	0	0	0	0.000429	0.310	0.211	0.742	0.277	0.00119	0.255
86	LCE2D	late cornified envelope 2D	82902	3	3	3	0	1	1	0	0	1	0	0.000122	0.610	0.837	0.710	1.000	0.00122	0.255
87	KRT6C	keratin 6C	382472	3	3	3	0	1	1	0	1	0	0	0.00717	0.391	0.0283	0.0398	0.0171	0.00123	0.255
88	HIST1H4B	histone cluster 1, H4b	77728	3	3	3	0	2	1	0	0	0	0	0.000635	0.366	0.197	0.467	0.197	0.00125	0.258
89	PBX4	pre-B-cell leukemia homeobox 4	234005	4	4	4	0	2	0	0	0	2	0	0.000142	0.450	0.715	0.704	1.000	0.00140	0.285
90	OR4C13	olfactory receptor, family 4, subfamily C, member 13	229233	3	3	3	0	0	2	0	1	0	0	0.000579	0.401	0.851	0.0790	0.255	0.00145	0.289
91	FLG2	filaggrin family member 2	1766256	9	9	9	1	0	5	1	2	1	0	0.000527	0.405	0.352	0.172	0.284	0.00147	0.289
92	C1QTNF9	C1q and tumor necrosis factor related protein 9	212889	2	2	2	0	1	1	0	0	0	0	0.0322	0.463	0.0131	0.0594	0.00465	0.00147	0.289
93	CTNNA2	catenin (cadherin-associated protein), alpha 2	633033	4	3	4	0	2	0	0	2	0	0	0.0218	0.307	0.00326	0.417	0.00696	0.00149	0.289
94	CNPY3	canopy 3 homolog (zebrafish)	165103	2	2	1	0	0	0	0	0	2	0	0.00300	1.000	0.0128	0.633	0.0532	0.00155	0.296
95	SYN2	synapsin II	303525	4	4	2	0	1	0	0	0	3	0	0.00104	0.657	0.0921	0.976	0.153	0.00156	0.296
96	HLA-G	major histocompatibility complex, class I, G	255793	4	3	4	1	1	1	1	1	0	0	0.00157	0.669	NaN	NaN	NaN	0.00157	0.296
97	RBPMS2	RNA binding protein with multiple splicing 2	127207	3	3	3	1	0	0	0	0	3	0	0.000393	0.592	0.0237	0.997	0.430	0.00164	0.306
98	GPX1	glutathione peroxidase 1	130965	3	3	2	0	0	0	0	1	2	0	0.000435	0.812	0.260	0.498	0.400	0.00168	0.308
99	PDCD1	programmed cell death 1	187804	3	3	2	1	1	2	0	0	0	0	0.00238	0.604	0.0204	0.907	0.0731	0.00168	0.308
100	CCT8L2	chaperonin containing TCP1, subunit 8 (theta)-like 2	412787	4	4	4	1	2	1	0	1	0	0	0.000390	0.564	0.963	0.225	0.474	0.00178	0.318
101	OR52D1	olfactory receptor, family 52, subfamily D, member 1	236347	3	3	3	1	0	1	1	0	1	0	0.00227	0.832	0.0121	0.626	0.0819	0.00178	0.318
102	OR4A15	olfactory receptor, family 4, subfamily A, member 15	253658	3	3	3	0	0	1	0	2	0	0	0.000765	0.501	0.318	0.231	0.244	0.00179	0.318
103	RP1	retinitis pigmentosa 1 (autosomal dominant)	1590964	8	8	8	0	0	4	1	2	1	0	0.000196	0.199	0.715	0.810	1.000	0.00187	0.329
104	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	825761	7	7	4	1	2	0	0	0	5	0	0.000208	0.756	0.191	0.403	1.000	0.00197	0.344
105	FOXP1	forkhead box P1	557471	5	5	5	1	0	1	0	0	4	0	0.000306	0.780	0.449	0.555	0.692	0.00200	0.345
106	CDC7	cell division cycle 7 homolog (S. cerevisiae)	432928	4	4	2	0	0	1	0	0	3	0	0.00112	0.504	0.0861	0.893	0.197	0.00208	0.355
107	KRTAP3-3	keratin associated protein 3-3	74046	2	2	2	0	1	0	0	1	0	0	0.00194	0.611	0.626	0.0860	0.116	0.00212	0.359
108	GAB2	GRB2-associated binding protein 2	505103	5	5	5	0	2	2	0	1	0	0	0.000268	0.216	0.957	0.567	0.861	0.00216	0.363
109	MED15	mediator complex subunit 15	581479	5	5	5	0	1	0	0	1	3	0	0.00178	0.509	0.0716	0.695	0.132	0.00220	0.365
110	SPDYE6	speedy homolog E6 (Xenopus laevis)	116620	4	4	4	0	2	2	0	0	0	0	0.000269	0.288	0.523	0.808	0.881	0.00222	0.365
111	AIM2	absent in melanoma 2	258751	4	4	4	1	0	2	1	0	1	0	0.000243	0.797	0.713	0.792	1.000	0.00227	0.370
112	GABRG1	gamma-aminobutyric acid (GABA) A receptor, gamma 1	334452	4	4	4	0	2	2	0	0	0	0	0.000246	0.301	0.883	0.507	1.000	0.00229	0.371
113	ZFP36L1	zinc finger protein 36, C3H type-like 1	251011	4	4	4	0	0	1	1	1	1	0	0.000565	0.449	0.214	0.668	0.450	0.00236	0.377
114	SETD5	SET domain containing 5	994537	4	1	4	2	0	3	0	1	0	0	0.501	0.889	0.000196	0.447	0.000511	0.00237	0.377
115	GABRR2	gamma-aminobutyric acid (GABA) receptor, rho 2	359604	3	3	2	0	2	0	0	0	1	0	0.00745	0.456	0.103	0.0149	0.0355	0.00244	0.384
116	DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	345120	4	4	4	0	0	2	1	0	1	0	0.000388	0.426	0.422	0.821	0.692	0.00248	0.384
117	SLC10A2	solute carrier family 10 (sodium/bile acid cotransporter family), member 2	262199	4	4	4	0	1	2	0	0	1	0	0.000273	0.226	0.918	0.515	0.985	0.00248	0.384
118	GUCY1A2	guanylate cyclase 1, soluble, alpha 2	507018	3	3	3	1	2	0	0	0	1	0	0.0185	0.652	0.0229	0.0540	0.0148	0.00252	0.387
119	APBB3	amyloid beta (A4) precursor protein-binding, family B, member 3	376340	3	3	3	0	1	0	1	1	0	0	0.00453	0.482	0.0519	0.145	0.0668	0.00276	0.419
120	PSRC1	proline/serine-rich coiled-coil 1	250993	4	4	4	0	3	1	0	0	0	0	0.000911	0.320	0.231	0.301	0.336	0.00278	0.419
121	IQCF3	IQ motif containing F3	114758	2	2	2	0	0	0	1	0	1	0	0.00602	0.679	0.0348	0.515	0.0512	0.00280	0.419
122	KIF25	kinesin family member 25	245925	3	3	2	0	0	0	0	2	1	0	0.00261	0.467	0.0445	0.728	0.120	0.00285	0.420
123	OR4P4	olfactory receptor, family 4, subfamily P, member 4	209872	2	2	2	0	2	0	0	0	0	0	0.00242	0.458	0.154	0.167	0.130	0.00285	0.420
124	NFE2L3	nuclear factor (erythroid-derived 2)-like 3	398932	3	3	3	0	0	2	0	1	0	0	0.0124	0.538	0.111	0.0278	0.0259	0.00290	0.424
125	CLASP2	cytoplasmic linker associated protein 2	904242	6	6	6	0	1	1	2	1	1	0	0.000672	0.244	0.501	0.285	0.489	0.00296	0.429
126	TNFRSF13B	tumor necrosis factor receptor superfamily, member 13B	221806	3	3	3	1	1	2	0	0	0	0	0.00223	0.661	0.0497	0.516	0.148	0.00298	0.429
127	ANKRD36	ankyrin repeat domain 36	475658	4	4	4	0	0	0	1	1	2	0	0.000746	0.620	0.233	0.504	0.467	0.00312	0.445
128	DCAF4L2	DDB1 and CUL4 associated factor 4-like 2	293228	4	4	4	0	3	0	1	0	0	0	0.000918	0.257	0.138	0.634	0.385	0.00316	0.445
129	RAG1	recombination activating gene 1	771076	5	5	5	0	4	1	0	0	0	0	0.000728	0.216	0.357	0.523	0.486	0.00317	0.445
130	C5orf45	chromosome 5 open reading frame 45	240049	4	4	4	0	1	2	0	0	1	0	0.000625	0.304	0.408	0.656	0.653	0.00359	0.501
131	ESCO1	establishment of cohesion 1 homolog 1 (S. cerevisiae)	620916	5	5	5	0	1	0	0	1	3	0	0.000598	0.376	0.424	0.969	0.690	0.00363	0.501
132	TUBA3C	tubulin, alpha 3c	337758	3	3	3	0	0	2	0	1	0	0	0.00658	0.357	0.0357	0.484	0.0631	0.00365	0.501
133	PTPN14	protein tyrosine phosphatase, non-receptor type 14	893760	4	4	4	0	2	0	0	0	2	0	0.0941	0.435	0.00219	0.332	0.00447	0.00369	0.503
134	ZAN	zonadhesin	1848150	8	8	7	3	2	3	2	0	1	0	0.255	0.703	0.000443	0.815	0.00173	0.00385	0.521
135	LINGO2	leucine rich repeat and Ig domain containing 2	448210	4	4	4	0	2	1	0	0	1	0	0.00136	0.416	0.227	0.531	0.326	0.00388	0.521
136	KCNH5	potassium voltage-gated channel, subfamily H (eag-related), member 5	744938	3	3	3	0	1	1	1	0	0	0	0.0268	0.388	0.0131	0.244	0.0170	0.00396	0.528
137	SIRPA	signal-regulatory protein alpha	353777	3	2	3	0	1	1	1	0	0	0	0.0481	0.352	0.00517	0.307	0.00966	0.00403	0.530
138	UGT2B10	UDP glucuronosyltransferase 2 family, polypeptide B10	777425	5	5	4	1	0	2	0	0	3	0	0.00156	0.707	0.177	0.523	0.298	0.00404	0.530
139	HOXB13	homeobox B13	212202	3	3	3	0	0	0	3	0	0	0	0.00116	0.480	0.382	0.0987	0.415	0.00416	0.542
140	DLL3	delta-like 3 (Drosophila)	243542	3	3	3	0	3	0	0	0	0	0	0.0309	0.244	0.0198	0.119	0.0157	0.00419	0.542
141	SMAD4	SMAD family member 4	418680	4	3	4	0	0	1	0	3	0	0	0.00414	0.488	0.0681	0.649	0.121	0.00429	0.549
142	ZIC5	Zic family member 5 (odd-paired homolog, Drosophila)	189580	3	3	3	1	0	0	0	1	2	0	0.000501	0.950	0.969	0.426	1.000	0.00431	0.549
143	KRT81	keratin 81	187099	2	2	1	1	0	2	0	0	0	0	0.0217	0.713	0.0204	0.178	0.0235	0.00436	0.553
144	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	397449	4	4	4	1	0	1	1	0	2	0	0.00100	0.724	0.376	0.777	0.514	0.00442	0.556
145	MUC1	mucin 1, cell surface associated	198272	2	2	1	0	0	0	2	0	0	0	0.00459	0.692	NaN	NaN	NaN	0.00459	0.574
146	ACTL7B	actin-like 7B	307992	4	4	4	1	3	0	1	0	0	0	0.00107	0.487	0.316	0.339	0.515	0.00469	0.582
147	KRTAP11-1	keratin associated protein 11-1	121995	2	2	2	0	1	1	0	0	0	0	0.0130	0.473	0.0915	0.0498	0.0428	0.00472	0.582
148	CD209	CD209 molecule	305778	3	3	3	1	1	0	1	1	0	0	0.00218	0.755	0.167	0.565	0.261	0.00482	0.583
149	MGAT4C	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)	352173	3	3	2	0	3	0	0	0	0	0	0.00120	0.614	0.386	0.850	0.480	0.00486	0.583
150	TNFRSF4	tumor necrosis factor receptor superfamily, member 4	133680	3	3	3	0	0	1	1	0	1	0	0.00255	0.579	0.123	0.785	0.227	0.00489	0.583
151	OR10J1	olfactory receptor, family 10, subfamily J, member 1	237882	3	3	3	0	1	0	2	0	0	0	0.00127	0.449	0.322	0.426	0.455	0.00490	0.583
152	ZNF57	zinc finger protein 57	412433	3	3	2	1	2	1	0	0	0	0	0.00809	0.668	0.0220	0.937	0.0717	0.00490	0.583
153	MYOCD	myocardin	706084	2	2	1	0	0	0	0	0	2	0	0.0963	1.000	0.0106	0.00874	0.00615	0.00499	0.583
154	KRTAP1-5	keratin associated protein 1-5	130049	2	2	1	0	0	0	2	0	0	0	0.00220	0.684	0.00959	0.885	0.270	0.00500	0.583
155	MECOM	MDS1 and EVI1 complex locus	926662	4	4	3	1	3	0	0	0	1	0	0.0229	0.645	0.0169	0.172	0.0264	0.00510	0.583
156	CCDC15	coiled-coil domain containing 15	533341	3	3	3	0	0	1	1	0	1	0	0.00503	0.453	0.0361	0.831	0.121	0.00510	0.583
157	DDN	dendrin	440717	4	4	4	0	2	2	0	0	0	0	0.0130	0.227	0.0200	0.902	0.0470	0.00513	0.583
158	PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	325426	3	3	3	0	1	0	0	2	0	0	0.00179	0.454	0.230	0.452	0.342	0.00515	0.583
159	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	235896	3	3	3	0	2	1	0	0	0	0	0.00403	0.330	0.114	0.546	0.152	0.00515	0.583
160	FBN1	fibrillin 1	2179454	10	10	10	1	3	4	2	1	0	0	0.00137	0.215	0.515	0.170	0.449	0.00518	0.583
161	ACAN	aggrecan	1524728	9	9	9	0	4	5	0	0	0	0	0.00134	0.0464	0.350	0.490	0.461	0.00518	0.583
162	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	200244	2	2	2	0	0	0	1	0	1	0	0.00657	0.555	0.891	0.0654	0.0973	0.00534	0.594
163	NBPF15	neuroblastoma breakpoint family, member 15	169128	2	2	2	0	1	0	0	0	1	0	0.00168	0.624	0.218	0.316	0.380	0.00534	0.594
164	SCN11A	sodium channel, voltage-gated, type XI, alpha subunit	1344546	7	7	7	1	4	3	0	0	0	0	0.00181	0.272	0.216	0.551	0.364	0.00549	0.606
165	RSPO2	R-spondin 2 homolog (Xenopus laevis)	182641	2	2	2	0	1	0	0	0	1	0	0.00542	0.802	0.0590	0.923	0.125	0.00561	0.615
166	TMEM102	transmembrane protein 102	278227	2	2	2	0	1	1	0	0	0	0	0.0730	0.450	0.0934	0.0295	0.00931	0.00564	0.615
167	GAS2L2	growth arrest-specific 2 like 2	647403	6	6	6	0	3	3	0	0	0	0	0.00127	0.107	0.341	0.741	0.565	0.00591	0.638
168	CLEC12B	C-type lectin domain family 12, member B	175556	2	2	2	0	1	0	0	0	1	0	0.00290	0.509	0.364	0.679	0.247	0.00592	0.638
169	SPRR2F	small proline-rich protein 2F	54858	2	2	2	0	0	2	0	0	0	0	0.000778	0.655	0.550	0.677	0.931	0.00596	0.639
170	ZNF134	zinc finger protein 134	313529	2	2	2	0	0	2	0	0	0	0	0.0241	0.624	0.0197	0.0307	0.0310	0.00613	0.654
171	MYO15A	myosin XVA	2234539	8	8	8	0	7	1	0	0	0	0	0.0621	0.0526	0.00715	0.365	0.0122	0.00618	0.655
172	ATOH1	atonal homolog 1 (Drosophila)	262441	3	3	3	0	1	0	1	1	0	0	0.00453	0.416	0.299	0.119	0.169	0.00625	0.656
